"ID","Easting (ft)","Northing (ft)","Formation thickness (ft)","Upper J (ft)","Lower J (ft)","Kiowa (ft)","Cheyenne (ft)"
115,1587945,551746,279.5,2.5,4.5,5.5,9
116,1589238,549114,340,117,116,20,32
117,1586593,549133,289,0,41.5,0,0
118,1582610,549150,282.5,63,68,95,30.5
119,1581312,551771,279,15,83,3.5,0
120,1577424,549170,293.5,16.5,37.5,30,33
121,1573371,547856,285.5,1,54,9.5,22.5
122,1574698,550486,296.5,38.5,9,0,15.5
123,1572083,550477,267,19,22,22.5,34.5
124,1574674,547858,261,19,57,12.5,18.5
127,1573367,546534,308,25,20.5,19,32
128,1574670,546535,318.5,23.5,13.5,19.5,21.5
129,1572038,546533,283.5,15.5,35,0,21.5
130,1579926,542551,352.5,94,109,10,51
131,1578934,544212,325.5,40,66,0,11
132,1585232,546514,322,80,108.5,0,0
133,1594535,545127,272,17.5,73.5,90,26.5
134,1594533,543799,308.5,0,44,46.5,35
135,1590518,537219,327.5,13,67.5,0,13.5
136,1583908,541206,360.5,37.5,31,0,67.5
138,1581226,537274,308.5,8.5,5,0,47
139,1573283,541245,352.5,81.5,111,10,21.5
140,1571907,537271,307.5,9,4.5,0,47
141,1567911,533340,340,31,75.5,0,27.5
142,1579869,533288,281,17,9,6.5,49.5
143,1577213,533286,300,64.5,4,48.5,53.5
144,1586525,535925,319.5,40.5,66.5,19,41.5
145,1586523,534597,275.5,62,69,88.5,37.5
146,1586502,533263,312,68,4.5,9.5,52
147,1586499,531941,320.5,154,117.5,116.5,46.5
148,1591460,532243,324.5,22,71.5,12,29
149,1588483,531932,309,7.5,108.5,34,31
150,1597100,531552,313.5,42.5,65,1.5,33.5
151,1592775,530917,310.5,0,104.5,17,35
152,1596115,530561,284,46,86.5,96.5,40.5
153,1597431,530224,297,3,3,0,35
154,1591802,529276,332,16,84,0.5,30.5
155,1586496,530624,321.5,38,53,10.5,13.5
156,1576865,530969,300,0,1,0,24
158,1566564,530705,346.5,52.5,108.5,50,59
159,1567861,528039,332.5,19.5,116,6,65
162,1587693,521375,293,3,89.5,41.5,74.5
163,1590455,525323,316,41.5,94.5,1.5,27
164,1587754,525342,322,111.5,99,20.5,71.5
165,1595746,525270,299.5,0.5,66,12.5,52
166,1660074,518849,252.5,0,37,0,1
167,1660023,516188,234,53,92.5,104.5,22.5
170,1645547,518976,263,0,51,0,0
172,1632313,513836,268,0,0,0,0
173,1637517,511137,,46,55.5,1,31
174,1644409,510045,,61.2,31,47,48
175,1645310,513673,,10,70.5,17.5,21.5
176,1645442,512348,,0.5,78,25.5,35.5
180,1657332,513561,228,1.5,5,1,2
181,1657231,505627,,18.5,0,0,9.5
182,1655933,508283,,0,0,0,0
183,1658211,503959,,23,0,0,8.5
186,1641382,504456,,0,0,0,8.5
187,1638777,507136,,67.5,38.5,125,26
188,1629429,500645,281.5,11,6,0,32.5
190,1637376,501970,282.5,17.5,0,1.5,15
194,1645180,492553,,0,0,0,20
196,1659722,491076,,40.5,12,0,14.5
200,1612504,515610,,59.5,82.5,30.5,42.5
201,1598092,510693,305,9.5,43.5,6,66
202,1607242,511741,306,10,80,0,53
203,1617728,510145,314,97,113.5,117.5,60
204,1613780,514247,303.5,75,84.5,12.5,59
206,1620423,512752,269,28,0,6.5,41
209,1624242,504707,313,85.5,108,43,42
210,1620180,506103,,79,94.5,95.5,53.5
211,1621621,507067,,24,15,0,17.5
212,1621629,505088,,8.5,25.5,0.5,28
213,1617709,508811,313,36,49.5,4,39.5
214,1603136,503894,303.5,40.5,73.5,7.5,71
215,1608410,502405,335.5,79,112,22.5,72.5
217,1626793,500687,312,24.5,94,0,15.5
219,1623072,496783,276,13,61.5,5.5,36
220,1613493,494335,314.5,12,75.5,16,62
221,1605694,498516,325.5,15.5,68.5,18.5,61
224,1602927,493317,325,50.5,88,37,70
225,1608186,491845,321.5,24.5,58,4.5,68.5
226,1609537,493126,303.5,17.5,71,20.5,71
227,1614707,490372,312,26.5,53.5,1.5,39
228,1618663,490272,311.5,20,61,16,30.5
229,1620032,492875,301.5,72.5,53,23.5,27
230,1590299,518562,283,120.5,116.5,107.5,111
231,1583971,518421,308,92,102.5,87,82.5
233,1581198,511851,,56.3,38.5,29,87.5
234,1576550,513236,,2,61.3,4,110.5
235,1584833,510794,293.5,58,61,25,98.5
236,1585197,514429,309,0,49,14,79.5
237,1583875,512471,,4,11,8,71.5
239,1587483,513410,314,3,68,8.5,92.5
240,1589811,513091,337.5,3.5,51.5,16,74.5
241,1587027,511761,313.5,11.5,0,9,87
242,1593182,513751,317.5,12.5,22.5,18.5,91
243,1592497,513761,286.5,4.5,12,31.5,89.5
244,1584688,506796,280,0,3,0,61.5
245,1579420,506900,328,40.5,37,0,49
246,1584514,500119,308,34,27,49.5,126.5
247,1588487,500097,300,11.5,0,0,44
248,1594927,502433,,39,60.5,86.5,101
249,1592456,497486,279,29,0,3,93
250,1590160,499115,303,42.5,19.5,16.5,115.5
251,1588760,495803,304,11,32.5,39.5,124.5
252,1586747,496434,307.5,9,7,31.5,130.5
253,1586795,498411,305,53,26,4.5,133.5
254,1585465,499099,304,3,25,42.5,118.5
257,1579042,490924,273,11.5,30,5,126.5
258,1576774,493989,255.5,34,80.5,135.5,177.5
259,1577070,492973,261.5,0.5,44,35,164.5
260,1576349,489633,336,0,31.5,0,41
262,1637835,486794,,2.5,10.5,43,39.5
272,1638333,476736,259,26.5,0,0,0
273,1628959,475530,283.5,0,0,0,15.5
275,1644813,467420,312,46,42.5,21,124
277,1650124,467367,265,62,16,117.5,98.5
279,1652711,466027,281.5,7.5,1,23,92
280,1647401,463451,295.5,25,0,2,147.5
281,1638137,462197,285.5,22,8.5,26,112.8
284,1634123,459611,276,2,0,0,114.5
285,1657895,459399,327,91.5,114.5,161.5,165.5
288,1625201,486167,275.5,0,3.5,0,29
289,1615874,483699,328.5,58.5,11,0,52.5
290,1614542,483740,317,103.5,65.5,117.5,113.5
292,1598661,478505,337,16,58,76.5,119
293,1599690,481129,335.5,61,18.5,3.5,80
294,1601363,482732,333.5,63,84.5,101.5,124
295,1610566,482514,270.5,9,9,12.5,118
296,1611879,481161,277,5.5,1.5,11.5,73
297,1610174,478558,275.5,0,18,0,83.5
300,1621988,475327,,6.5,52,7.5,151
301,1613139,475836,323.5,151.5,36,34.5,149.5
302,1617103,477085,317.5,38,90.5,15,114.5
304,1608176,476958,313.5,3.5,53.5,14.5,91.5
306,1609481,476600,328,11,16,87,136
308,1602571,476085,363,18,82,15.5,63.5
309,1598626,476177,370,145,113.5,55.5,154
310,1597327,477547,363.5,7,88,10,89
311,1612109,471534,335,16.5,87.5,26.5,135
312,1588233,485531,303,113.5,112.5,122,130
313,1581968,487883,284,28,13.5,6.5,176
315,1578574,482924,275,1.5,25,7,222
319,1637587,546548,279.5,8,25,24.5,53
320,1637907,545549,326.5,29,28.5,1.5,34.5
321,1639175,538904,282.5,27.5,46,5,46
325,1641780,533625,,84,87.5,6.5,36.5
326,1652918,530001,,10.9,49,2.5,12.5
329,1605370,538951,308,0,0,7,37
330,1606022,537936,257,1,24,3,44
331,1599714,531806,291,16,31.5,1,33.5
332,1582626,550461,300,30.5,34.5,22.5,9
333,1586626,551754,278.5,29.5,31.5,2.5,17.5
334,1569436,551821,274.5,4,1.5,3.5,29
340,1641496,512402,,8,74.5,2,27
343,1638644,497928,,0,0,0,9
346,1617747,511484,315,78,109.5,112,72.5
348,1604307,495921,,58,99,61.5,81.5
349,1613456,493020,309,0,0,0,1
350,1583973,518425,309,77.5,102.5,86,82.5
351,1584794,497789,309,108.5,111.5,131,68
357,1654281,481877,256.5,9.5,25.5,0,28.5
359,1609180,478592,331,7.5,29.5,5,33
360,1614522,482411,308,75.5,32.5,9,101.5
361,1615845,482374,324.5,104,47.5,0.5,92
362,1589619,488188,303.5,20.5,22,14.5,127.5
501,1624500,460500,,59,105,12,98
502,1591000,461500,,0,10,5,56
503,1596000,468000,,55,66,9,157
504,1656000,501000,,12,6,10,25
505,1638500,499000,,0,0,0,10
506,1642000,487500,,0,48,18,35
507,1604000,463000,,19,22,7,208
508,1628500,519000,,0,15,0,18
509,1594000,514000,,5,15,15,80
510,1566000,507000,,25,0,2,125
511,1573500,473500,,10,20,20,270
512,1643500,472000,,42,10,4,60
513,1627000,517000,,0,0,0,0
514,1596000,513500,,5,10,12,92
515,1654000,495500,,7,35,18,45
516,1614500,501500,,61,25,18,42
